0,1,2,3,4,5,6,7,8,9,10,11
hJe,S,hS,,,,,,,,,
hJe,S,C,,,,,,,,,
hJe,S,hC,,,,,,,,,
hJe,S,P,,,,,,,,,
hJe,S,hP,,,,,,,,,
hJe,hS,C,,,,,,,,,
hJe,hS,hC,,,,,,,,,
hJe,hS,P,,,,,,,,,
hJe,hS,hP,,,,,,,,,
hJe,C,hC,,,,,,,,,
hJe,C,P,,,,,,,,,
hJe,C,hP,,,,,,,,,
hJe,hC,P,,,,,,,,,
hJe,hC,hP,,,,,,,,,
hJe,P,hP,,,,,,,,,
S,hS,C,,,,,,,,,
S,hS,hC,,,,,,,,,
S,hS,P,,,,,,,,,
S,hS,hP,,,,,,,,,
S,C,hC,,,,,,,,,
S,C,P,,,,,,,,,
S,C,hP,,,,,,,,,
S,hC,P,,,,,,,,,
S,hC,hP,,,,,,,,,
S,P,hP,,,,,,,,,
hS,C,hC,,,,,,,,,
hS,C,P,,,,,,,,,
hS,C,hP,,,,,,,,,
hS,hC,P,,,,,,,,,
hS,hC,hP,,,,,,,,,
hS,P,hP,,,,,,,,,
C,hC,P,,,,,,,,,
C,hC,hP,,,,,,,,,
C,P,hP,,,,,,,,,
hC,P,hP,,,,,,,,,
V,hV,A,hA,,,,,,,,
V,hV,A,Je,,,,,,,,
V,hV,A,hJe,,,,,,,,
V,hV,A,S,,,,,,,,
V,hV,A,hS,,,,,,,,
V,hV,A,C,,,,,,,,
V,hV,A,hC,,,,,,,,
V,hV,A,P,,,,,,,,
V,hV,A,hP,,,,,,,,
V,hV,hA,Je,,,,,,,,
V,hV,hA,hJe,,,,,,,,
V,hV,hA,S,,,,,,,,
V,hV,hA,hS,,,,,,,,
V,hV,hA,C,,,,,,,,
V,hV,hA,hC,,,,,,,,
V,hV,hA,P,,,,,,,,
V,hV,hA,hP,,,,,,,,
V,hV,Je,hJe,,,,,,,,
V,hV,Je,S,,,,,,,,
V,hV,Je,hS,,,,,,,,
V,hV,Je,C,,,,,,,,
V,hV,Je,hC,,,,,,,,
V,hV,Je,P,,,,,,,,
V,hV,Je,hP,,,,,,,,
V,hV,hJe,S,,,,,,,,
V,hV,hJe,hS,,,,,,,,
V,hV,hJe,C,,,,,,,,
V,hV,hJe,hC,,,,,,,,
V,hV,hJe,P,,,,,,,,
V,hV,hJe,hP,,,,,,,,
V,hV,S,hS,,,,,,,,
V,hV,S,C,,,,,,,,
V,hV,S,hC,,,,,,,,
V,hV,S,P,,,,,,,,
V,hV,S,hP,,,,,,,,
V,hV,hS,C,,,,,,,,
V,hV,hS,hC,,,,,,,,
V,hV,hS,P,,,,,,,,
V,hV,hS,hP,,,,,,,,
V,hV,C,hC,,,,,,,,
V,hV,C,P,,,,,,,,
V,hV,C,hP,,,,,,,,
V,hV,hC,P,,,,,,,,
V,hV,hC,hP,,,,,,,,
V,hV,P,hP,,,,,,,,
V,A,hA,Je,,,,,,,,
V,A,hA,hJe,,,,,,,,
V,A,hA,S,,,,,,,,
V,A,hA,hS,,,,,,,,
V,A,hA,C,,,,,,,,
V,A,hA,hC,,,,,,,,
V,A,hA,P,,,,,,,,
V,A,hA,hP,,,,,,,,
V,A,Je,hJe,,,,,,,,
V,A,Je,S,,,,,,,,
V,A,Je,hS,,,,,,,,
V,A,Je,C,,,,,,,,
V,A,Je,hC,,,,,,,,
V,A,Je,P,,,,,,,,
V,A,Je,hP,,,,,,,,
V,A,hJe,S,,,,,,,,
V,A,hJe,hS,,,,,,,,
V,A,hJe,C,,,,,,,,
V,A,hJe,hC,,,,,,,,
V,A,hJe,P,,,,,,,,
V,A,hJe,hP,,,,,,,,
V,A,S,hS,,,,,,,,
V,A,S,C,,,,,,,,
V,A,S,hC,,,,,,,,
V,A,S,P,,,,,,,,
V,A,S,hP,,,,,,,,
V,A,hS,C,,,,,,,,
V,A,hS,hC,,,,,,,,
V,A,hS,P,,,,,,,,
V,A,hS,hP,,,,,,,,
V,A,C,hC,,,,,,,,
V,A,C,P,,,,,,,,
V,A,C,hP,,,,,,,,
V,A,hC,P,,,,,,,,
V,A,hC,hP,,,,,,,,
V,A,P,hP,,,,,,,,
V,hA,Je,hJe,,,,,,,,
V,hA,Je,S,,,,,,,,
V,hA,Je,hS,,,,,,,,
V,hA,Je,C,,,,,,,,
V,hA,Je,hC,,,,,,,,
V,hA,Je,P,,,,,,,,
V,hA,Je,hP,,,,,,,,
V,hA,hJe,S,,,,,,,,
V,hA,hJe,hS,,,,,,,,
V,hA,hJe,C,,,,,,,,
V,hA,hJe,hC,,,,,,,,
V,hA,hJe,P,,,,,,,,
V,hA,hJe,hP,,,,,,,,
V,hA,S,hS,,,,,,,,
V,hA,S,C,,,,,,,,
V,hA,S,hC,,,,,,,,
V,hA,S,P,,,,,,,,
V,hA,S,hP,,,,,,,,
V,hA,hS,C,,,,,,,,
V,hA,hS,hC,,,,,,,,
V,hA,hS,P,,,,,,,,
V,hA,hS,hP,,,,,,,,
V,hA,C,hC,,,,,,,,
V,hA,C,P,,,,,,,,
V,hA,C,hP,,,,,,,,
V,hA,hC,P,,,,,,,,
V,hA,hC,hP,,,,,,,,
V,hA,P,hP,,,,,,,,
V,Je,hJe,S,,,,,,,,
V,Je,hJe,hS,,,,,,,,
V,Je,hJe,C,,,,,,,,
V,Je,hJe,hC,,,,,,,,
V,Je,hJe,P,,,,,,,,
V,Je,hJe,hP,,,,,,,,
V,Je,S,hS,,,,,,,,
V,Je,S,C,,,,,,,,
V,Je,S,hC,,,,,,,,
V,Je,S,P,,,,,,,,
V,Je,S,hP,,,,,,,,
V,Je,hS,C,,,,,,,,
V,Je,hS,hC,,,,,,,,
V,Je,hS,P,,,,,,,,
V,Je,hS,hP,,,,,,,,
V,Je,C,hC,,,,,,,,
V,Je,C,P,,,,,,,,
V,Je,C,hP,,,,,,,,
V,Je,hC,P,,,,,,,,
V,Je,hC,hP,,,,,,,,
V,Je,P,hP,,,,,,,,
V,hJe,S,hS,,,,,,,,
V,hJe,S,C,,,,,,,,
V,hJe,S,hC,,,,,,,,
V,hJe,S,P,,,,,,,,
V,hJe,S,hP,,,,,,,,
V,hJe,hS,C,,,,,,,,
V,hJe,hS,hC,,,,,,,,
V,hJe,hS,P,,,,,,,,
V,hJe,hS,hP,,,,,,,,
V,hJe,C,hC,,,,,,,,
V,hJe,C,P,,,,,,,,
V,hJe,C,hP,,,,,,,,
V,hJe,hC,P,,,,,,,,
